title,price,location,postdate
Room for Rent,$250,Kingsgrove,06/09/2020
CLASSY  AND  CLOSE  IN......................,$160,Surry Hills,13/08/2020
"Bargain share house room in Stanmore. Close to train, shops. Be quick!",$85,Stanmore,28/08/2020
Room for rent near Lidcombe station,$175,Lidcombe,08/09/2020
Iconic Maroubra Residence,$220,Maroubra,08/05/2020
Room to rent  5 mins walk to seven hills station,$150,Seven Hills,16/08/2020
Eastwood/Epping Big Master room with ensuite & independent entry,$260,Seven Hills,10 minutes ago
Great Private room in beautiful House,$190,Hurstville,14 minutes ago
One bedroom available,$180,Blacktown,15 minutes ago
Very large master bedroom with en-suite and walk-in wardrobe,$350,Bardwell Park,17 minutes ago
"Private Single Bedroom near Bondi Junction train, Beach and Park",$250,Bondi Junction,25 minutes ago
MOVE IN TODAY TO THIS CLEAN FRIENDLY FURNISHED HOUSE IN SYDNEY CBD,$160,Sydney City,32 minutes ago
MOVE TO THIS CLEAN FRIENDLY FURNISHED HOUSE IN SYDNEY CBD,$160,The Rocks,38 minutes ago
Single room near UNSW at Kensington,$180,Kensington,44 minutes ago
lovely room,$120,Kingsgrove,54 minutes ago
room for rent,$120,Toongabbie,58 minutes ago
Room for Rent in Schofields NSW,$175,Schofields,58 minutes ago
newly renovated single room for rent in riverwood,$170,Riverwood,0 minutes ago
Flatshare/1 Large bedrm 18sq.at2 bedrms.Apart.in secur.looking tenants,$250,Strathfield,2 hours ago
Own room for rent at Glebe include bills,$250,Ultimo,2 hours ago
Modern room in Inner West all Bills Included,$170,Marrickville,2 hours ago
Room for rent available in Redfern,$150,Redfern,2 hours ago
"Rooms Marsfield/Eastwood, close to Macquarie University, train station",$175,Marsfield,2 hours ago
"Marsfiled Single Room $175/W, near MQ University",$195,Marsfield,2 hours ago
"City Pyrmont Own Room. Safe, Clean, Comfortable & Convenient Location",$110,Pyrmont,2 hours ago
Multiple bedrooms available for rent in Homebush West,$140,Homebush West,2 hours ago
Room for Rent (3-5 min walk to Blacktown Station),$220,Blacktown,2 hours ago
i everyone. ne private room for rent $300 weekrivate bedroom wi,$295,Darlington,2 hours ago
Fully furnished spacious room | 5km to City,$180,Rosebery,2 hours ago
One Small Room,$200,Sydney City,2 hours ago
"Large Disinfected Clean, Neutral Bay Security Apt 15mins to City!",$230,Neutral Bay,01/07/2020
ROOM ON RENT IN QUAKERS HILL.. Not to be missed opportunity,$190,Marayong,26/08/2020
"Blacktown Room for Rent, Houseshare & Flatshare",$170,Blacktown,Yesterday
2 Rooms available for Females - North Parramatta - Utilities INCLUDED,$160,North Parramatta,28/08/2020
Room for Rent Single Private $120 Cheap and Clean near Train,$120,Homebush West,08/09/2020
Private room with own Bathroom( all bills are included!!),$285,Pyrmont,Yesterday
One Small Room,$200,Sydney City,2 hours ago
DON'T MISS OUT! CALL NOW - BEST Home. Dble rm Furnished,$270,Baulkham Hills,2 hours ago
